Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI   September,2020   Call    30/09/2020   1,200",,"1,200.00",1200,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,381.00,375.60,0.00
"OKLI   September,2020   Call    30/09/2020   1,220",,"1,220.00",1220,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,361.10,355.60,0.00
"OKLI   September,2020   Call    30/09/2020   1,240",,"1,240.00",1240,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,341.20,335.70,0.00
"OKLI   September,2020   Call    30/09/2020   1,260",,"1,260.00",1260,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,321.30,315.80,0.00
"OKLI   September,2020   Call    30/09/2020   1,280",,"1,280.00",1280,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,301.30,295.90,0.00
"OKLI   September,2020   Call    30/09/2020   1,300",,"1,300.00",1300,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,281.40,276.00,0.00
"OKLI   September,2020   Call    30/09/2020   1,320",,"1,320.00",1320,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,261.60,256.00,0.00
"OKLI   September,2020   Call    30/09/2020   1,340",,"1,340.00",1340,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,241.70,236.10,0.00
"OKLI   September,2020   Call    30/09/2020   1,360",,"1,360.00",1360,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,221.90,216.30,0.00
"OKLI   September,2020   Call    30/09/2020   1,380",,"1,380.00",1380,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,202.30,196.50,0.00
"OKLI   September,2020   Call    30/09/2020   1,400",,"1,400.00",1400,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,182.90,176.80,0.00
"OKLI   September,2020   Call    30/09/2020   1,420",,"1,420.00",1420,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,163.70,157.40,0.00
"OKLI   September,2020   Call    30/09/2020   1,440",,"1,440.00",1440,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,145.00,138.40,0.00
"OKLI   September,2020   Call    30/09/2020   1,460",,"1,460.00",1460,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,127.00,119.90,0.00
"OKLI   September,2020   Call    30/09/2020   1,480",,"1,480.00",1480,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,109.70,102.20,0.00
"OKLI   September,2020   Call    30/09/2020   1,500",,"1,500.00",1500,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,93.50,85.60,0.00
"OKLI   September,2020   Call    30/09/2020   1,520",,"1,520.00",1520,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,78.40,70.20,0.00
"OKLI   September,2020   Call    30/09/2020   1,540",,"1,540.00",1540,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,64.70,56.40,0.00
"OKLI   September,2020   Call    30/09/2020   1,560",,"1,560.00",1560,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,52.50,44.20,0.00
"OKLI   September,2020   Call    30/09/2020   1,580",,"1,580.00",1580,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,41.80,33.90,0.00
"OKLI   September,2020   Call    30/09/2020   1,600",,"1,600.00",1600,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,32.70,25.30,0.00
"OKLI   September,2020   Call    30/09/2020   1,620",,"1,620.00",1620,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,25.00,18.40,0.00
"OKLI   September,2020   Call    30/09/2020   1,640",,"1,640.00",1640,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,18.80,13.00,0.00
"OKLI   September,2020   Call    30/09/2020   1,660",,"1,660.00",1660,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,13.90,9.00,0.00
"OKLI   December,2020   Call    31/12/2020   1,280",,"1,280.00",1280,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,288.30,281.50,0.00
"OKLI   December,2020   Call    31/12/2020   1,300",,"1,300.00",1300,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,268.90,261.90,0.00
"OKLI   December,2020   Call    31/12/2020   1,320",,"1,320.00",1320,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,249.70,242.40,0.00
"OKLI   December,2020   Call    31/12/2020   1,340",,"1,340.00",1340,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,230.80,223.20,0.00
"OKLI   December,2020   Call    31/12/2020   1,360",,"1,360.00",1360,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,212.20,204.20,0.00
"OKLI   December,2020   Call    31/12/2020   1,380",,"1,380.00",1380,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,194.00,185.60,0.00
"OKLI   December,2020   Call    31/12/2020   1,400",,"1,400.00",1400,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,176.40,167.40,0.00
